EMP_NO,EMP_NAME,BAND,NB_FROM,AGEING_BUCKET,ONSITE_OFFSHORE,Location,EXPERIENCE,ROLE_NAME,COUNTRY,Skills_from_iAspire,CERTIFIED_SKILLS,TRAINED_SKILLS,RECENT_SKILL,LANGUAGE_SKILL,ROLE_CLUSTER_NAME
1,Employee1,GROUP D1,02-01-2026,31-60 DAYS,OFFSHORE,MUMBAI,33Years 0Months,Cluster Delivery Head (CDH) L1,INDIA,"Business Transformation(L4), Customer Escalation Management(L4), Customer Relationship Management(L5), Customer Reviews(L5), Domain Knowledge(L3), Generative AI(L1), Lean(L1), Managing Large Transformation Delivery(L4), Oracle Cloud PLM(L1), Oracle OSS BSS Implementation(L4), Oracle(L1), P&L Management / Profit Maximization(L5), P&L Management(L5), Presales & Deal Architect(L4), Project Management(L5), Project Planning and Execution(L4), Project Planning(L5), Risk Management(L4), Salesforce AI Associate(L1), SFDC Einstein Cloud(L1), Siebel CRM, Software Development Life Cycle (Sdlc)(L5), Technology Understanding(L4), Telecom OSS BSS(L5), Telecommunications(L4), Tmforum Ngoss","DELIVERY MANAGEMENT(L1),DELIVERY MANAGEMENT(L2),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),SALESFORCE AI ASSOCIATE(L1)","DELIVERY MANAGEMENT(L2),DELIVERY MANAGEMENT(L2),Delivery Management(L1),Delivery Management(L2),English Language(L1),GENERATIVE AI(L2),Generative AI(L0),Generative AI(L1),Lean(L1),NA(NA),SFDC Einstein Cloud(L1),WEGA for AI(L3),WEGA for AI(L3)",,,CLUSTER DELIVERY HEAD (CDH) L1
2,Employee2,GROUP C2,28-04-2025,>180 DAYS,ONSITE,KIEL,25Years 8Months,Project Manager L2,GERMANY,"Account Management, Agile-Scrum(L1), Agility, Business Development, Change Management, Collaboration, Continuous Improvement(L3), Delivery Management(L1), English Language(L1), Generative AI(L1), ITIL, Java Development KIT, Lotus Notes(L2), Mainframe(L5), Management, Migration, Operations Management, Program Excellence, Program Management(L1), Project Management ADM(L2), Service Delivery, Stakeholder Communications(L3), Support, Tax Withholding, Team Coordination(L3), Team Management, Transformation, Vendor Management","AGILE-SCRUM(L1),DELIVERY MANAGEMENT(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L2),PROGRAM MANAGEMENT(L1),PROJECT MANAGEMENT(L1),PROJECT MANAGEMENT(L2)","Agile-Scrum(L1),Delivery Management(L1),Generative AI(L0),Generative AI(L1),Github Copilot(L2),MANAGING CHANGE(L1),Program Management(L1),Project Management(L2)","MAINFRAME,PROJECT MANAGEMENT,PROJECT MANAGEMENT ADM",,PROJECT MANAGER L2
3,Employee3,GROUP B3,02-04-2026,16-30 DAYS,OFFSHORE,BENGALURU,22Years 9Months,Assistant Manager L1,INDIA,"CRM - Customer Relationship Management(L3), Generative AI(L3), Knowledge Management(L2), Library and Information Services(L2), Program Management(L2), Project Management(L3), SAP Activate Methodology(L3), Team Management(L3), Training Support(L2), Vendor Management(L2)","EFFECTIVE COMMUNICATION(L2),GENERATIVE AI(L1),GITHUB COPILOT(L2),MANAGING CHANGE(L2),NEGOTIATION(L2),NURTURING PEOPLE(L2),PROJECT MANAGEMENT(L2),RESOURCING AND OPERATIONS MANAGEMENT(L1)","Effective Communication(L1),Effective Communication(L2),Generative AI(L0),Generative AI(L1),Github Copilot(L2),M365 Copilot(L1),MANAGING CHANGE(L1),Managing Change(L1),Managing Change(L2),NA(NA),Negotiation(L2),Nurturing People(L2),PMO(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROGRAM MANAGEMENT(L1),PROJECT MANAGEMENT(L1),PROJECT MANAGEMENT(L1),PROJECT MANAGEMENT(L1),PROJECT MANAGEMENT(L1),Project Management(L2),Resourcing and Operations Management(L1),SAP ACTIVATE METHODOLOGY(L1),SAP ACTIVATE METHODOLOGY(L2),WEGA for AI(L0),WEGA for AI(L3),WEGA for AI(L3),WEGA for AI(L3)","CRM - CUSTOMER RELATIONSHIP MANAGEMENT,KNOWLEDGE MANAGEMENT,PLANNING AND ORGANISING,PMO",,Assistant Manager - PMO L1
4,Employee4,GROUP D2,06-02-2026,16-30 DAYS,OFFSHORE,BENGALURU,30Years 1Months,Delivery Assurance Director L2,INDIA,"Account Management, Accountability, Critical Review, Customer Engagement, Delivery Assurance(L5), Employee Engagement, Employee Relations, End to End Delivery, Excellence in Execution, Management, Operations Management(L4), P&L, Performance Management, Pricing, Problem Solving, Profit and Loss (P&l), Profitable Growth, Program Management(L5), Requirements Analysis, Revenue Growth, SDLC, Service-Level Agreements (Sla), Software Project Management, Strategy, Team Management(L5)","DELIVERY MANAGEMENT(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3)","Delivery Management(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),WEGA for AI(L0),WEGA for AI(L2)",,,ACCOUNT DELIVERY HEAD (ADH) L4
5,Employee5,GROUP C2,01-12-2025,61-90 DAYS,OFFSHORE,BENGALURU,33Years 7Months,Account Delivery Head (ADH) L2,INDIA,"Artificial Intelligence, Azure Openai, Customer Management, Customer Manageremt, Delivery Assurance(L2), English Language(L1), GitHub Copilot, Managed Services, Managing Change(L1), Operations, People Management, Process Improvement, Program Management(L2), Project Management(L4), Request for Proposal (RFP) Management, Service Delivery, Service Operations Management, Team Management","DELIVERY MANAGEMENT(L1),DELIVERY MANAGEMENT(L2),DEVOPS - CONTINUOUS DELIVERY(L1),DEVOPS - CONTINUOUS INTEGRATION(L1),ENGLISH LANGUAGE(L1),GCP AI ML(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),INTERNET OF THINGS - IOT(L1),KUBERNETES(L1),MS AZURE AI ML(L1),MS AZURE AI ML(L2)","AI Consulting Responsible AI(L1),Amazon Web Services - AWS(L1),Delivery Management(L1),Delivery Management(L2),DevOps - Continuous Delivery(L1),Devops - Continuous Integration(L1),GCP AI ML MLOps(L1),GCP GEN AI(L1),Generative AI(L0),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Internet of Things - IoT(L1),Kubernetes(L1),Kubernetes(L2),M365 Copilot(L1),MS Azure AI ML(L1),MS Azure AI ML(L2),Managing Change(L1),NA(NA),WEGA for AI(L0)","DELIVERY ASSURANCE,DELIVERY MANAGEMENT,ORACLE APPLICATION ADMIN,ORACLE APPS CRM FUNCTIONAL,ORACLE APPS FINANCE FUNCTIONAL,ORACLE APPS MANUFACTURING FUNCTIONAL,ORACLE SQL,PL-SQL,PROGRAM MANAGEMENT,PROJECT MANAGEMENT,RDBMS - DATABASE DEVELOPMENT",,ACCOUNT DELIVERY HEAD (ADH) L2
6,Employee6,GROUP B3,01-01-2026,61-90 DAYS,OFFSHORE,BENGALURU,28Years 10Months,Technical Lead L1,INDIA,"Amazon Web Services (AWS)(L4), AutoSys(L5), Azure Fundamentals(L4), BMC Control M(L5), Brio(L5), Cognos(L5), Hyperion Intelligence(L5), Incorta Reports(L5), Informatica ILM(L4), Microsoft Bi(L3), Microsoft SQL Server(L5), Msp360 Cloudberry Explorer(L5), Netezza(L4), Oracle(L5), Sybase(L5), Unix Shell Programming(L5), Webtrends(L5)","AWS GEN AI(L1),ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),INFORMATICA POWERCENTER(L3),UNIX SHELL SCRIPTING(L1)","AMAZON WEB SERVICES - AWS(L0),AWS Gen AI(L1),Azure Cloud Data Platform Engineering(L1),CLOUD-MICROSOFT AZURE(L2),CLOUD-PAAS-AZURE(L1),Cloud-PaaS-GCP-Google Cloud Platform(L2),DATABRICKS - DATA ENGINEERING(L2),English Language(L1),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Informatica Powercenter(L3),MICROSOFT POWER BI(L1),NA(NA),NA(NA),Unix Shell Scripting(L1),WEGA for AI(L0),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3),WEGA for AI(L3)","ACTUATE,BMC CONTROL M,EXCEL,INFORMATICA POWERCENTER,NETEZZA,ORACLE,PERL PROGRAMMING,SQL SERVER,SYBASE T-SQL PROGRAMMING,TERADATA,UNIX SHELL SCRIPTING",,Technical Lead Informatica - L1
7,Employee7,GROUP D2,01-01-2026,31-60 DAYS,OFFSHORE,BENGALURU,29Years 10Months,Techno Functional Consultant L5,INDIA,"Consulting(L3), Domain Expertise(L3), Leadership(L4), Management(L4), Negotiation(L4), Project Delivery(L4), Stakeholder Management(L4), Strategic Perspective(L4), Strategic Planning(L4), Team Building(L4)","GENERATIVE AI(L1),GITHUB COPILOT(L2)","Generative AI(L0),Generative AI(L1),Github Copilot(L2),WEGA for AI(L0)",,,Techno Functional Consultant UTILITIES - L5
8,Employee8,GROUP B3,01-01-2026,61-90 DAYS,OFFSHORE,HYDERABAD,23Years 1Months,Developer L4,INDIA,"2D Animation(L5), 2D Drawings(L5), 2D Game Development(L5), 2d Technical Drawing(L5), 3D Animation(L5), Adobe After Effects Certification(L5), Adobe After Effects(L5), Adobe After(L5), Adobe Creative Suite(L5), Adobe Creative(L5), Adobe Flash(L5), Adobe Illustrator(L5), Adobe Photoshop Elements(L5), Adobe Photoshop Sketch(L5), Adobe Photoshop(L5), Adobe Premiere Pro(L5), Adobe Premiere(L5), Adobe Software(L5), Adobe XD(L5), Advertising(L5), After Effects(L5), Animation Software(L5), Animation(L5), Art Direction(L5), Art(L5), Brochure Design(L5), Casino Game Designer(L5), Coding Standards(L2), Corporate Identity(L5), Creative Direction(L5), Creative Storytelling(L5), CSS(L3), Design(L5), Designer, Digital Illustration(L5), Drawing(L5), Editing Skills(L5), Effective Communication(L5), Elearning Instructional Design(L5), Explainer Videos(L5), Figma(L5), Film, Film Production(L5), Final Cut Pro, Flash Action Script(L5), Flash(L5), Graphic Design(L5), Graphic Designer/ Illustrator(L5), Graphical Tools(L5), Graphical User Interface(L5), Graphics Technology(L5), Graphics(L5), HTML(L3), Illustration(L5), Illustrator(L5), Indesign(L5), Info Graphic, Interaction Design(L5), ISO 27001 Information Security Standard(L5), JavaScript, Landing Page Optimization(L5), Landing Pages(L5), Leadership(L5), Logo Design(L5), Maillers(L5), Marketing(L5), Microsoft Excel, Microsoft PowerPoint(L5), Mobile UI Design(L5), Motion Design - Adobe Premiere(L5), Motion Graphics Software(L5), Motion Graphics(L5), Movavi Video Editor(L5), Multimedia Applications(L5), Office 365 - Exchange Online(L5), Painting(L5), Photography, Photoshop, Post Production(L5), Postproduction(L5), Secth(L5), Sketching(L5), Social Media Videos(L5), Social Media(L5), Story Board(L5), Team Leadership, Team Management(L5), Technical Writing - DOP(L5), Technical Writing(L5), Training, Typography(L5), User Experience Design(L5), User Experience(L5), User Interface Design(L5), UX(L5), UX/UI Design(L5), Video Editing Software(L5), Video Editing(L5), Video Encoding(L5), Video Motion Design(L5), Video Processing(L5), Video Production, Video(L5), Virtualization(L5), Visual Communication(L5), Web Design(L5), Web Development(L2), Whiteboard Videos(L5), Wipro Values(L5), WordPress(L5)","GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L3)","CLOUD ENGINEERING AZURE(L2),EMBEDDED AND SYSTEM SOFTWARE(L2),ENTERPRISE PLATFORM DEVOPS TOOLS(L2),Generative AI(L1),Github Copilot(L1),Github Copilot(L3),Github Copilot(L3),ISO 27001 Information Security Standard(L1),M365 COPILOT(L0),M365 COPILOT(L0),NA(NA),NA(NA),PROGRAM MANAGEMENT(L2),TECHNICAL WRITING(L2),WEGA for AI(L0),WEGA for AI(L2),Wipro Values(L2)","ADOBE CREATIVE,ADOBE ILLUSTRATOR,ADOBE PHOTOSHOP,CODING STANDARDS,ELEARNING INSTRUCTIONAL DESIGN,FLASH ACTION SCRIPT,GRAPHICS TECHNOLOGY,MOTION DESIGN - ADOBE PREMIERE,MULTIMEDIA APPLICATIONS,OFFICE 365 - EXCHANGE ONLINE","English,Hindi,Telugu",DEVELOPER UI/UX DESIGN - L4
9,Employee9,GROUP B3,01-04-2026,16-30 DAYS,OFFSHORE,PUNE,21Years 4Months,Techno Functional Consultant L1,INDIA,"ACI Payments(L4), Banking - Mobile and Digital Channels(L3), BFS Business Analyst(L3), BSS - Business Support System(L3), Business Analysis-BFSI-Domain(L3), Business Process Management(L3), Business Requirements(L3), Corporate Banking-Payments Front-End(L3), Data Modeling, English Language(L3), Generative AI(L3), GPS Global Payments System(L4), Payment and Fraud( Trust & Safety)(L3), Payment and Fraud(L3), Payments - Cards and ATM(L3), Requirements Analysis(L3), Retail Banking(L3), SQL(L4)","ENGLISH LANGUAGE(L1),GENERATIVE AI(L1),PAYMENTS - CARDS AND ATM(L1),PAYMENTS - CARDS AND ATM(L2)","Generative AI(L0),Generative AI(L1),Payments - Cards and ATM(L1),Payments - Cards and ATM(L2)",BUSINESS ANALYSIS,,TECHNO FUNCTIONAL CONSULTANT BANKING - PAYMENTS - L1
10,Employee10,GROUP D2,01-04-2026,16-30 DAYS,OFFSHORE,BENGALURU,26Years 10Months,Service Line Delivery Executive L2,INDIA,"Auditing(L4), Automation Strategy(L4), Banking and Finance(L4), Banking Applications(L3), Budgets(L4), Business Analysis(L4), Business Operations(L4), Business Requirements(L4), Client Relationship Management(L4), Coaching(L5), Command Line Interface(L4), Competency Development(L4), Competency Management(L4), Compliance(L4), Contract Management(L4), Core Banking(L3), Customer Experience(L4), Customer Relationship Management(L4), Customer Satisfaction(L4), Data Management(L3), Delivery Management(L5), Demand Management(L5), Domain Knowledge(L3), Estimation(L5), Financial Services(L3), Functional Test Planning(L5), Global Delivery(L4), Inventory Management(L4), Java(L4), Leadership Management(L4), Manual Testing(L5), Negotiation(L4), Network Attached Storage(L3), Network Devices(L3), Operating Cost(L5), Optical Networking(L3), People Management(L5), Perl Programming(L3), Perl(L4), Pre Sales(L4), Product Engineering(L3), Program Management(L4), Project Delivery(L4), Quality Assurance Strategy(L5), Quality Assurance(L5), Recruiting(L5), Requirements Analysis(L4), Risk Management(L4), Scope Management(L4), SDLC(L5), Software Project Management(L5), Staffing(L5), Storage Area Networks(L3), Storage Devices(L3), Strategic Planning(L4), Talent Acquisition Strategy(L4), Talent Management(L5), Team Building(L5), Technical Leadership(L4), Test Automation(L4), Test Execution(L5), Test Management(L5), Test Plan Development(L5), Test Planning(L5), Test Strategy(L5), Training(L5), Vendor Management(L5)","DELIVERY MANAGEMENT(L1),ENGLISH LANGUAGE(L1),GCP AI ML(L2),GENERATIVE AI(L1),GITHUB COPILOT(L1),GITHUB COPILOT(L2),GITHUB COPILOT(L3),PROJECT MANAGEMENT(L2)","AI Consulting Responsible AI(L1),Delivery Management(L1),GCP AI ML MLOps(L2),Generative AI(L0),Generative AI(L1),Github Copilot(L1),Github Copilot(L2),Github Copilot(L3),Github Copilot(L3),Project Management(L2),WEGA for AI(L0),WEGA for AI(L2),WEGA for AI(L3)","CORE JAVA,DELIVERY ASSURANCE,DELIVERY MANAGEMENT,IT OPERATIONS MANAGEMENT,JAVASCRIPT,PERL PROGRAMMING,PRODUCT QUALITY ASSURANCE,PROJECT MANAGEMENT,QUALITY ASSURANCE,TCL-TK,TECHNICAL WRITING,TEST AUTOMATION,TESTING,TRANSITION MANAGEMENT",,Service Line Delivery Executive L2
